,Symbol,Name,MarketCap,mcap
894,FLC,Flaherty & Crumrine Total Return Fund Inc,$205.82M,205820000
895,FLT,"FleetCor Technologies, Inc.",$21.63B,21630000000
896,FLNG,FLEX LNG Ltd.,$297.61M,297610000
897,FND,"Floor & Decor Holdings, Inc.",$6.52B,6520000000
898,FTK,"Flotek Industries, Inc.",$119.03M,119030000
899,FLO,"Flowers Foods, Inc.",$4.82B,4820000000
900,FLS,Flowserve Corporation,$3.92B,3920000000
901,FLR,Fluor Corporation,$1.74B,1740000000
902,FLY,Fly Leasing Limited,$214.89M,214890000
903,FEAC,Flying Eagle Acquisition Corp.,$1.05B,1050000000
904,FMC,FMC Corporation,$13.75B,13750000000
905,FMX,Fomento Economico Mexicano S.A.B. de C.V.,$107.92B,107920000000
906,FL,"Foot Locker, Inc.",$3.15B,3150000000
907,F,Ford Motor Company,$26.57B,26570000000
908,FOR,Forestar Group Inc,$768.58M,768580000
909,FTS,Fortis Inc.,$18.48B,18480000000
910,FTV,Fortive Corporation,$23.98B,23980000000
911,FTAI,Fortress Transportation and Infrastructure Investors LLC,$1.28B,1280000000
912,FVAC,Fortress Value Acquisition Corp.,$534.75M,534750000
913,FSM,Fortuna Silver Mines Inc.,$1.17B,1170000000
914,FBHS,"Fortune Brands Home & Security, Inc.",$9.54B,9540000000
915,FET,"Forum Energy Technologies, Inc.",$56.8M,56800000
916,FBM,"Foundation Building Materials, Inc.",$622.98M,622980000
917,FCPT,"Four Corners Property Trust, Inc.",$1.61B,1610000000
918,FEDU,Four Seasons Education (Cayman) Inc.,$54.73M,54730000
919,FNV,Franco-Nevada Corporation,$29.57B,29570000000
920,FC,Franklin Covey Company,$254.52M,254520000
921,FSB,"Franklin Financial Network, Inc.",$395.96M,395960000
922,BEN,"Franklin Resources, Inc.",$10.53B,10530000000
923,FT,Franklin Universal Trust,$173.91M,173910000
924,FI,Frank&#39;s International N.V.,$464.96M,464960000
925,FCX,"Freeport-McMoran, Inc.",$19.43B,19430000000
926,FMS,Fresenius Medical Care Corporation,$26.27B,26270000000
927,FDP,"Fresh Del Monte Produce, Inc.",$1.13B,1130000000
928,RESI,Front Yard Residential Corporation,$495.29M,495290000
929,FRO,Frontline Ltd.,$1.48B,1480000000
930,FSK,FS KKR Capital Corp.,$1.92B,1920000000
931,FCN,"FTI Consulting, Inc.",$4.27B,4270000000
932,FF,FutureFuel Corp.,$569.1M,569100000
933,GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The)",$101.82M,101820000
934,GAB,"Gabelli Equity Trust, Inc. (The)",$1.29B,1290000000
935,GGZ,Gabelli Global Small and Mid Cap Value Trust (The),$87.71M,87710000
936,GGT,Gabelli Multi-Media Trust Inc. (The),$163.09M,163090000
937,GUT,Gabelli Utility Trust (The),$408.01M,408010000
938,GCAP,"GAIN Capital Holdings, Inc.",$231.36M,231360000
939,GLEO,Galileo Acquisition Corp.,$173.83M,173830000
940,GBL,"Gamco Investors, Inc.",$353.33M,353330000
941,GNT,"GAMCO Natural Resources, Gold & Income Tust ",$106.83M,106830000
942,GME,Gamestop Corporation,$259.68M,259680000
943,GCI,"Gannett Co., Inc.",$179.65M,179650000
944,GPS,"Gap, Inc. (The)",$4.77B,4770000000
945,GTX,Garrett Motion Inc.,$524.58M,524580000
946,IT,"Gartner, Inc.",$11B,11000000000
947,GLOG,GasLog LP.,$302.46M,302460000
948,GLOP,GasLog Partners LP,$206.74M,206740000
949,GTES,Gates Industrial Corporation plc,$3.15B,3150000000
950,GATX,GATX Corporation,$2.16B,2160000000
951,GCP,GCP Applied Technologies Inc.,$1.61B,1610000000
952,GNK,Genco Shipping & Trading Limited ,$255.41M,255410000
953,GNRC,Generac Holdlings Inc.,$8.53B,8530000000
954,GAM,"General American Investors, Inc.",$824.37M,824370000
955,GD,General Dynamics Corporation,$42.4B,42400000000
956,GE,General Electric Company,$61.58B,61580000000
957,GIS,"General Mills, Inc.",$39.34B,39340000000
958,GM,General Motors Company,$37.42B,37420000000
959,GCO,Genesco Inc.,$255.17M,255170000
960,GEL,"Genesis Energy, L.P.",$903.41M,903410000
961,GEN           ,"Genesis Healthcare, Inc.",$133.95M,133950000
962,GNE,Genie Energy Ltd.,$221.24M,221240000
963,G,Genpact Limited,$7.35B,7350000000
964,GPC,Genuine Parts Company,$12.64B,12640000000
965,GNW,Genworth Financial Inc,$1.11B,1110000000
966,GEO,Geo Group Inc (The),$1.34B,1340000000
967,GPRK,Geopark Ltd,$554.33M,554330000
968,GGB,Gerdau S.A.,$5.27B,5270000000
969,GTY,Getty Realty Corporation,$1.23B,1230000000
970,GFL,GFL Environmental Inc.,$6.18B,6180000000
971,GIX,"GigCapital2, Inc.",$229.53M,229530000
972,GIL,"Gildan Activewear, Inc.",$3.33B,3330000000
973,GLT,Glatfelter,$720.95M,720950000
974,GKOS,Glaukos Corporation,$1.77B,1770000000
975,GSK,GlaxoSmithKline PLC,$104.28B,104280000000
976,CO,Global Cord Blood Corporation,$420.57M,420570000
977,GMRE,Global Medical REIT Inc.,$529.31M,529310000
978,GNL,"Global Net Lease, Inc.",$1.47B,1470000000
979,GLP,Global Partners LP,$337.24M,337240000
980,GPN,Global Payments Inc.,$52.06B,52060000000
981,GSL,"Global Ship Lease, Inc.",$131.51M,131510000
982,GLOB,Globant S.A.,$6.62B,6620000000
983,GL,Globe Life Inc.,$8.01B,8010000000
984,GMED,"Globus Medical, Inc.",$4.65B,4650000000
985,GMS,GMS Inc.,$1.01B,1010000000
986,GDDY,GoDaddy Inc.,$11.61B,11610000000
987,GOL,Gol Linhas Aereas Inteligentes S.A.,$1.38B,1380000000
988,GFI,Gold Fields Limited,$10.31B,10310000000
989,GSBD,"Goldman Sachs BDC, Inc.",$626.63M,626630000
990,GS,"Goldman Sachs Group, Inc. (The)",$72.91B,72910000000
991,GER,Goldman Sachs MLP Energy Renaissance Fund,$66.75M,66750000
992,GMZ,Goldman Sachs MLP Income Opportunities Fund,$59.81M,59810000
993,GRC,Gorman-Rupp Company (The),$821.88M,821880000
994,GPX,GP Strategies Corporation,$145.28M,145280000
995,GGG,Graco Inc.,$8.71B,8710000000
996,GRAF,Graf Industrial Corp.,$293.78M,293780000
997,EAF,GrafTech International Ltd.,$1.88B,1880000000
998,GHM,Graham Corporation,$126.9M,126900000
999,GHC,Graham Holdings Company,$2.02B,2020000000
1000,GRAM,Grana y Montero S.A.A.,$386.26M,386260000
1001,GVA,Granite Construction Incorporated,$898.84M,898840000
1002,GPMT,Granite Point Mortgage Trust Inc.,$369.42M,369420000
1003,GPK,Graphic Packaging Holding Company,$3.94B,3940000000
1004,GTN,"Gray Television, Inc.",$1.41B,1410000000
1005,AJX,Great Ajax Corp.,$206.6M,206600000
1006,GWB,"Great Western Bancorp, Inc.",$745.99M,745990000
1007,GDOT,Green Dot Corporation,$2.7B,2700000000
1008,GBX,"Greenbrier Companies, Inc. (The)",$842.7M,842700000
1009,GHL,"Greenhill & Co., Inc.",$221.64M,221640000
1010,GHG,GreenTree Hospitality Group Ltd.,$1.4B,1400000000
1011,GEF,"Greif, Inc.",$2.18B,2180000000
1012,GFF,Griffon Corporation,$927.75M,927750000
1013,GPI,"Group 1 Automotive, Inc.",$1.35B,1350000000
1014,GRUB,GrubHub Inc.,$6.54B,6540000000
1015,PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",$3.63B,3630000000
1016,ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",$3.02B,3020000000
1017,AVAL,Grupo Aval Acciones y Valores S.A.,$5.36B,5360000000
1018,SUPV,Grupo Supervielle S.A.,$251.2M,251200000
1019,TV,Grupo Televisa S.A.,$372.17B,372170000000
1020,GSX,GSX Techedu Inc.,$20.45B,20450000000
1021,GTT,"GTT Communications, Inc.",$433.5M,433500000
1022,GSH,Guangshen Railway Company Limited,$1.45B,1450000000
1023,GES,"Guess?, Inc.",$738.9M,738900000
1024,GGM,Guggenheim Credit Allocation Fund,$149.28M,149280000
1025,GPM,Guggenheim Enhanced Equity Income Fund,$266.85M,266850000
1026,GOF,Guggenheim Strategic Opportunities Fund,$693.45M,693450000
1027,GBAB,Guggenheim Taxable Municipal Managed Duration Trst,$433.85M,433850000
1028,GWRE,"Guidewire Software, Inc.",$10.1B,10100000000
1029,HRB,"H&R Block, Inc.",$2.77B,2770000000
1030,FUL,H. B. Fuller Company,$2.34B,2340000000
1031,HAE,Haemonetics Corporation,$4.57B,4570000000
1032,HAL,Halliburton Company,$12.56B,12560000000
1033,HBB,Hamilton Beach Brands Holding Company,$150.97M,150970000
1034,HBI,Hanesbrands Inc.,$4.83B,4830000000
1035,HNGR,"Hanger, Inc.",$667.42M,667420000
1036,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",$2.47B,2470000000
1037,HOG,"Harley-Davidson, Inc.",$4.32B,4320000000
1038,HMY,Harmony Gold Mining Company Limited,$3.78B,3780000000
1039,HSC,Harsco Corporation,$1.17B,1170000000
1040,HIG,"Hartford Financial Services Group, Inc. (The)",$14.91B,14910000000
1041,HVT,"Haverty Furniture Companies, Inc.",$267.71M,267710000
1042,HE,"Hawaiian Electric Industries, Inc.",$4.06B,4060000000
1043,HCHC,"HC2 Holdings, Inc.",$140.12M,140120000
1044,HCA,"HCA Healthcare, Inc.",$36.91B,36910000000
1045,HCI,"HCI Group, Inc.",$372.12M,372120000
1046,HDB,HDFC Bank Limited,$95.26B,95260000000
1047,HR,Healthcare Realty Trust Incorporated,$3.76B,3760000000
1048,HTA,"Healthcare Trust of America, Inc.",$5.66B,5660000000
1049,PEAK,"Healthpeak Properties, Inc.",$13.93B,13930000000
1050,HL,Hecla Mining Company,$2.62B,2620000000
1051,HEI,Heico Corporation,$13.11B,13110000000
1052,HLX,"Helix Energy Solutions Group, Inc.",$588.02M,588020000
1053,HP,"Helmerich & Payne, Inc.",$2.12B,2120000000
1054,HLF,Herbalife Nutrition Ltd.,$6.89B,6890000000
1055,HRI,Herc Holdings Inc.,$1.03B,1030000000
1056,HTGC,"Hercules Capital, Inc.",$1.24B,1240000000
1057,HRTG,"Heritage Insurance Holdings, Inc.",$350.96M,350960000
1058,PSV,Hermitage Offshore Services Ltd.,$30.7M,30700000
1059,HT,Hersha Hospitality Trust,$209.83M,209830000
1060,HSY,Hershey Company (The),$28.56B,28560000000
1061,HTZ,"Hertz Global Holdings, Inc",$207.75M,207750000
1062,HES,Hess Corporation,$16.05B,16050000000
1063,HESM,Hess Midstream LP,$325.77M,325770000
1064,HPE,Hewlett Packard Enterprise Company,$12.41B,12410000000
1065,HXL,Hexcel Corporation,$3.75B,3750000000
1066,HEXO,HEXO Corp.,$327.24M,327240000
1067,PCF,High Income Securities Fund,$44.02M,44020000
1068,HGLB,Highland Global Allocation Fund,$144.46M,144460000
1069,HFRO,Highland Income Fund,$568.47M,568470000
1070,HPR,HighPoint Resources Corporation,$78.09M,78090000
1071,HIW,"Highwoods Properties, Inc.",$3.79B,3790000000
1072,HIL,"Hill International, Inc.",$85.1M,85100000
1073,HI,Hillenbrand Inc,$2.06B,2060000000
1074,HRC,Hill-Rom Holdings Inc,$7.55B,7550000000
1075,HTH,Hilltop Holdings Inc.,$1.66B,1660000000
1076,HGV,Hilton Grand Vacations Inc.,$1.75B,1750000000
1077,HLT,Hilton Worldwide Holdings Inc.,$22.21B,22210000000
1078,HNI,HNI Corporation,$1.29B,1290000000
1079,HMLP,Hoegh LNG Partners LP,$378.47M,378470000
1080,HEP,"Holly Energy Partners, L.P.",$1.48B,1480000000
1081,HFC,HollyFrontier Corporation,$4.5B,4500000000
1082,HD,"Home Depot, Inc. (The)",$282.24B,282240000000
1083,HMC,"Honda Motor Company, Ltd.",$44.67B,44670000000
1084,HON,Honeywell International Inc.,$108.62B,108620000000
1085,HMN,Horace Mann Educators Corporation,$1.59B,1590000000
1086,HZN,Horizon Global Corporation,$93.99M,93990000
1087,HRL,Hormel Foods Corporation,$26.81B,26810000000
1088,HST,"Host Hotels & Resorts, Inc.",$7.68B,7680000000
1089,HLI,"Houlihan Lokey, Inc.",$3.91B,3910000000
1090,HOV,Hovnanian Enterprises Inc,$133.42M,133420000
1091,HHC,Howard Hughes Corporation (The),$2.93B,2930000000
1092,HWM,Howmet Aerospace Inc.,$7.02B,7020000000
1093,HPQ,HP Inc.,$25B,25000000000
1094,HSBC,HSBC Holdings plc,$98.41B,98410000000
1095,HMI,Huami Corporation,$958.98M,958980000
1096,HNP,"Huaneng Power International, Inc.",$6.5B,6500000000
1097,HUBB,Hubbell Inc,$7.13B,7130000000
1098,HUBS,"HubSpot, Inc.",$10.06B,10060000000
1099,HBM,Hudbay Minerals Inc.,$922.29M,922290000
1100,HUD,Hudson Ltd.,$403.95M,403950000
1101,HPP,"Hudson Pacific Properties, Inc.",$3.59B,3590000000
1102,HUM,Humana Inc.,$52.56B,52560000000
1103,HCFT,"Hunt Companies Finance Trust, Inc.",$59.73M,59730000
1104,HII,"Huntington Ingalls Industries, Inc.",$7.2B,7200000000
1105,HUN,Huntsman Corporation,$4.23B,4230000000
1106,HUYA,HUYA Inc.,$5.48B,5480000000
1107,H,Hyatt Hotels Corporation,$5.22B,5220000000
1108,HY,"Hyster-Yale Materials Handling, Inc.",$622.85M,622850000
1109,IAA,"IAA, Inc.",$5.25B,5250000000
1110,IAG,Iamgold Corporation,$2.25B,2250000000
1111,IBN,ICICI Bank Limited,$34.3B,34300000000
1112,ICL,ICL Group Ltd.,$4.05B,4050000000
1113,IDA,"IDACORP, Inc.",$4.59B,4590000000
1114,IEX,IDEX Corporation,$12.83B,12830000000
1115,IDT,IDT Corporation,$174.16M,174160000
1116,INFO,IHS Markit Ltd.,$31.65B,31650000000
1117,ITW,Illinois Tool Works Inc.,$57.48B,57480000000
1118,IMAX,Imax Corporation,$767.76M,767760000
1119,ICD,"Independence Contract Drilling, Inc.",$23.56M,23560000
1120,IHC,Independence Holding Company,$487.78M,487780000
1121,IRT,"Independence Realty Trust, Inc.",$1.04B,1040000000
1122,IFN,"India Fund, Inc. (The)",$445.27M,445270000
1123,IBA,"Industrias Bachoco, S.A. de C.V.",$1.86B,1860000000
1124,INFY,Infosys Limited,$52.97B,52970000000
1125,ING,"ING Group, N.V.",$29.52B,29520000000
1126,IR,Ingersoll Rand Inc.,$13.19B,13190000000
1127,NGVT,Ingevity Corporation,$2.47B,2470000000
1128,INGR,Ingredion Incorporated,$5.69B,5690000000
1129,IIPR,"Innovative Industrial Properties, Inc.",$2.06B,2060000000
1130,IPHI,Inphi Corporation,$5.95B,5950000000
1131,INSI,Insight Select Income Fund,$215.49M,215490000
1132,NSP,"Insperity, Inc.",$2.62B,2620000000
1133,INSP,"Inspire Medical Systems, Inc.",$2.65B,2650000000
1134,IBP,"Installed Building Products, Inc.",$2.29B,2290000000
1135,ITGR,Integer Holdings Corporation,$2.36B,2360000000
1136,ICE,Intercontinental Exchange Inc.,$52.05B,52050000000
1137,IHG,Intercontinental Hotels Group,$9.02B,9020000000
1138,IFS,Intercorp Financial Services Inc.,$3.12B,3120000000
1139,IBM,International Business Machines Corporation,$111.93B,111930000000
1140,IFF,"International Flavors & Fragrances, Inc.",$13.68B,13680000000
1141,IGT,International Game Technology,$2.17B,2170000000
1142,IP,International Paper Company,$14.39B,14390000000
1143,INSW,"International Seaways, Inc.",$472.75M,472750000
1144,IPV,InterPrivate Acquisition Corp.,$313.66M,313660000
1145,IPG,"Interpublic Group of Companies, Inc. (The)",$6.89B,6890000000
1146,IPI,"Intrepid Potash, Inc",$118.93M,118930000
1147,IVC,Invacare Corporation,$237.49M,237490000
1148,VBF,Invesco Bond Fund,$228.87M,228870000
1149,VCV,Invesco California Value Municipal Income Trust,$579.17M,579170000
1150,VTA,Invesco Credit Opportunities Fund,$564.93M,564930000
1151,IHIT,Invesco High Income 2023 Target Term Fund,$184.56M,184560000
1152,IHTA,Invesco High Income 2024 Target Term Fund,$63.99M,63990000
1153,VLT,Invesco High Income Trust II,$78M,78000000
1154,IVR,INVESCO MORTGAGE CAPITAL INC,$601.94M,601940000
1155,OIA,Invesco Municipal Income Opportunities Trust,$345.24M,345240000
1156,VMO,Invesco Municipal Opportunity Trust,$820.43M,820430000
1157,VKQ,Invesco Municipal Trust,$678.23M,678230000
1158,VPV,Invesco Pennsylvania Value Municipal Income Trust,$294.53M,294530000
1159,IVZ,Invesco Plc,$4.93B,4930000000
1160,IQI,Invesco Quality Municipal Income Trust,$648.36M,648360000
1161,VVR,Invesco Senior Income Trust,$524.9M,524900000
1162,VTN,Invesco Trust  for Investment Grade New York Municipal,$241.72M,241720000
1163,VGM,Invesco Trust for Investment Grade Municipals,$680.53M,680530000
1164,IIM,Invesco Value Municipal Income Trust,$698.79M,698790000
1165,IRET,Investors Real Estate Trust,$875.94M,875940000
1166,NVTA,Invitae Corporation,$3.98B,3980000000
1167,INVH,Invitation Homes Inc.,$15.5B,15500000000
1168,IO,Ion Geophysical Corporation,$40.15M,40150000
1169,IQV,"IQVIA Holdings, Inc.",$29.97B,29970000000
1170,IRM,Iron Mountain Incorporated,$7.85B,7850000000
1171,IRS,IRSA Inversiones Y Representaciones S.A.,$229.16M,229160000
1172,STAR          ,iStar Inc.,$930.87M,930870000
1173,ITCB,Ita? CorpBanca,$1.55B,1550000000
1174,ITUB,Itau Unibanco Banco Holding SA,$51.84B,51840000000
1175,ITT,ITT Inc.,$5.15B,5150000000
1176,IVH,Ivy High Income Opportunities Fund,$194.53M,194530000
1177,JPM,J P Morgan Chase & Co,$302.96B,302960000000
1178,JAX,"J. Alexander&#39;s Holdings, Inc.",$59.15M,59150000
1179,JILL,"J. Jill, Inc.",$31.11M,31110000
1180,SJM,J.M. Smucker Company (The),$12.16B,12160000000
1181,JBL,Jabil Inc.,$5.12B,5120000000
1182,J,Jacobs Engineering Group Inc.,$10.92B,10920000000
1183,JHX,James Hardie Industries plc.,$9.1B,9100000000
1184,JHG,Janus Henderson Group plc,$4.08B,4080000000
1185,JOF,Japan Smaller Capitalization Fund Inc,$226.1M,226100000
1186,JBGS,JBG SMITH Properties,$3.84B,3840000000
1187,JEF,Jefferies Financial Group Inc.,$4.57B,4570000000
1188,JELD,"JELD-WEN Holding, Inc.",$1.82B,1820000000
1189,JCAP,"Jernigan Capital, Inc.",$322.55M,322550000
1190,JT,Jianpu Technology Inc.,$104.66M,104660000
1191,JKS,JinkoSolar Holding Company Limited,$903.2M,903200000
1192,JMP,JMP Group LLC,$52.43M,52430000
1193,JBT,John Bean Technologies Corporation,$2.8B,2800000000
1194,BTO,John Hancock Financial Opportunities Fund,$387.66M,387660000
1195,HEQ,John Hancock Hedged Equity & Income Fund,$138.74M,138740000
1196,JHS,John Hancock Income Securities Trust,$174.14M,174140000
1197,JHI,John Hancock Investors Trust,$135.05M,135050000
1198,HPF,John Hancock Pfd Income Fund II,$383.2M,383200000
1199,HPI,John Hancock Preferred Income Fund,$523.95M,523950000
1200,HPS,John Hancock Preferred Income Fund III,$509.79M,509790000
1201,PDT,John Hancock Premium Dividend Fund,$645.02M,645020000
1202,HTD,John Hancock Tax Advantaged Dividend Income Fund,$672.97M,672970000
1203,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,$57.84M,57840000
1204,JNJ,Johnson & Johnson,$394.77B,394770000000
1205,JCI,Johnson Controls International plc,$27.31B,27310000000
1206,JLL,Jones Lang LaSalle Incorporated,$5.18B,5180000000
1207,JMIA,Jumia Technologies AG,$701.75M,701750000
1208,JIH,"Juniper Industrial Holdings, Inc.",$446.34M,446340000
1209,JNPR,"Juniper Networks, Inc.",$8B,8000000000
1210,JP,Jupai Holdings Limited,$65.41M,65410000
1211,JE,"Just Energy Group, Inc.",$69.74M,69740000
1212,LRN,K12 Inc,$1.92B,1920000000
1213,KAI,Kadant Inc,$1.35B,1350000000
1214,KDMN,"Kadmon Holdings, Inc.",$648.11M,648110000
1215,KAMN,Kaman Corporation,$1.15B,1150000000
1216,KSU,Kansas City Southern,$14.83B,14830000000
1217,KAR,"KAR Auction Services, Inc",$1.8B,1800000000
1218,KMF,"Kayne Anderson Midstream Energy Fund, Inc",$218.05M,218050000
1219,KYN,Kayne Anderson MLP/Midstream Investment Company,$651.9M,651900000
1220,KB,KB Financial Group Inc,$12.14B,12140000000
1221,KBH,KB Home,$3.03B,3030000000
1222,KBR,"KBR, Inc.",$3.19B,3190000000
1223,K,Kellogg Company,$23.19B,23190000000
1224,KMPR,Kemper Corporation,$5.12B,5120000000
1225,KMT,Kennametal Inc.,$2.23B,2230000000
1226,KW,Kennedy-Wilson Holdings Inc.,$2.24B,2240000000
1227,KEN,Kenon Holdings Ltd.,$1.13B,1130000000
1228,KDP,Keurig Dr Pepper Inc.,$42.05B,42050000000
1229,KEY,KeyCorp,$11.84B,11840000000
1230,KEYS,Keysight Technologies Inc.,$18.41B,18410000000
1231,KRC,Kilroy Realty Corporation,$6.56B,6560000000
1232,KRP,Kimbell Royalty Partners,$532.74M,532740000
1233,KMB,Kimberly-Clark Corporation,$48.97B,48970000000
1234,KIM,Kimco Realty Corporation,$4.85B,4850000000
1235,KMI,"Kinder Morgan, Inc.",$34.13B,34130000000
1236,KFS,"Kingsway Financial Services, Inc.",$59.48M,59480000
1237,KGC,Kinross Gold Corporation,$10.58B,10580000000
1238,KEX,Kirby Corporation,$2.89B,2890000000
1239,KL,Kirkland Lake Gold Ltd.,$13.34B,13340000000
1240,KRG,Kite Realty Group Trust,$829.4M,829400000
1241,KKR,KKR & Co. Inc.,$30.1B,30100000000
1242,KIO,KKR Income Opportunities Fund,$256.59M,256590000
1243,KREF,KKR Real Estate Finance Trust Inc.,$921.56M,921560000
1244,KNX,"Knight Transportation, Inc.",$7.66B,7660000000
1245,KNL,"Knoll, Inc.",$617.32M,617320000
1246,KNOP,KNOT Offshore Partners LP,$481.26M,481260000
1247,KN,Knowles Corporation,$1.4B,1400000000
1248,KSS,Kohl&#39;s Corporation,$3.52B,3520000000
1249,PHG,Koninklijke Philips N.V.,$47.24B,47240000000
1250,KTB,"Kontoor Brands, Inc.",$994.77M,994770000
1251,KOP,Koppers Holdings Inc.,$441.04M,441040000
1252,KEP,Korea Electric Power Corporation,$10.53B,10530000000
1253,KF,"Korea Fund, Inc. (The)",$142.7M,142700000
1254,KFY,Korn Ferry ,$1.66B,1660000000
1255,KOS,Kosmos Energy Ltd.,$737.45M,737450000
1256,KRA,Kraton Corporation,$588.67M,588670000
1257,KR,Kroger Company (The),$27.06B,27060000000
1258,KRO,Kronos Worldwide Inc,$1.26B,1260000000
1259,KT,KT Corporation,$4.9B,4900000000
1260,LB,"L Brands, Inc.",$5.24B,5240000000
1261,SCX,L.S. Starrett Company (The),$23.07M,23070000
1262,LHX,"L3Harris Technologies, Inc.",$36.46B,36460000000
1263,LH,Laboratory Corporation of America Holdings,$19.13B,19130000000
1264,LADR,Ladder Capital Corp,$901.32M,901320000
1265,LAIX,LAIX Inc.,$150.21M,150210000
1266,LW,"Lamb Weston Holdings, Inc.",$9.63B,9630000000
1267,LCI,Lannett Co Inc,$236.46M,236460000
1268,LPI,"Laredo Petroleum, Inc.",$9.24M,9240000
1269,LVS,Las Vegas Sands Corp.,$36.66B,36660000000
1270,LGI,Lazard Global Total Return and Income Fund,$189.56M,189560000
1271,LAZ,Lazard Ltd.,$3.05B,3050000000
1272,LZB,La-Z-Boy Incorporated,$1.27B,1270000000
1273,LCII,LCI Industries ,$3.02B,3020000000
1274,LEAF,Leaf Group Ltd.,$102.03M,102030000
1275,LEA,Lear Corporation,$6.89B,6890000000
1276,LEE,"Lee Enterprises, Incorporated",$54.78M,54780000
1277,LGC,Legacy Acquisition Corp.,$389.4M,389400000
1278,LM,"Legg Mason, Inc.",$4.45B,4450000000
1279,LEG,"Leggett & Platt, Incorporated",$4.74B,4740000000
1280,LDOS,"Leidos Holdings, Inc.",$12.66B,12660000000
1281,LEJU,Leju Holdings Limited,$392.96M,392960000
1282,LMND,"Lemonade, Inc.",$4.44B,4440000000
1283,LC,LendingClub Corporation,$395.46M,395460000
1284,LEN,Lennar Corporation,$21.34B,21340000000
1285,LII,"Lennox International, Inc.",$9.72B,9720000000
1286,LEVI,Levi Strauss & Co,$4.82B,4820000000
1287,LXP,Lexington Realty Trust,$2.98B,2980000000
1288,LPL,"LG Display Co., Ltd.",$3.95B,3950000000
1289,DFNS,LGL Systems Acquisition Corp.,$220.48M,220480000
1290,USA,Liberty All-Star Equity Fund,$1.28B,1280000000
1291,ASG,"Liberty All-Star Growth Fund, Inc.",$304.4M,304400000
1292,LBRT,Liberty Oilfield Services Inc.,$744.24M,744240000
1293,LSI,"Life Storage, Inc.",$4.38B,4380000000
1294,LITB,"LightInTheBox Holding Co., Ltd.",$131.9M,131900000
1295,LNC,Lincoln National Corporation,$7.24B,7240000000
1296,LIN,Linde plc,$128.15B,128150000000
1297,LNN,Lindsay Corporation,$1.08B,1080000000
1298,LN,LINE Corporation,$12.34B,12340000000
1299,LINX,Linx S.A.,$941.27M,941270000
1300,LAD,"Lithia Motors, Inc.",$3.98B,3980000000
1301,LAC,Lithium Americas Corp.,$514.13M,514130000
1302,LYV,"Live Nation Entertainment, Inc.",$10.59B,10590000000
1303,LOAK,Live Oak Acquisition Corp.,$252M,252000000
1304,LTHM,Livent Corporation,$1.01B,1010000000
1305,RAMP,"LiveRamp Holdings, Inc.",$3.11B,3110000000
1306,LYG,Lloyds Banking Group Plc,$26.54B,26540000000
1307,SCD,LMP Capital and Income Fund Inc.,$184.87M,184870000
1308,LMT,Lockheed Martin Corporation,$105.2B,105200000000
1309,L,Loews Corporation,$10.26B,10260000000
1310,LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,$584.11M,584110000
1311,LPX,Louisiana-Pacific Corporation,$3.26B,3260000000
1312,LOW,"Lowe&#39;s Companies, Inc.",$109.48B,109480000000
1313,LXU,Lsb Industries Inc.,$31.94M,31940000
1314,LTC,"LTC Properties, Inc.",$1.46B,1460000000
1315,LUB,"Luby&#39;s, Inc.",$36.9M,36900000
1316,LL,"Lumber Liquidators Holdings, Inc",$556.13M,556130000
1317,LXFR,Luxfer Holdings PLC,$384.74M,384740000
1318,LDL,"Lydall, Inc.",$287.54M,287540000
1319,LYB,LyondellBasell Industries NV,$22.71B,22710000000
1320,MTB,M&T Bank Corporation,$13.33B,13330000000
1321,MDC,"M.D.C. Holdings, Inc.",$2.51B,2510000000
1322,MHO,"M/I Homes, Inc.",$1.07B,1070000000
1323,MAC,Macerich Company (The),$1.15B,1150000000
1324,CLI,Mack-Cali Realty Corporation,$1.31B,1310000000
1325,MFD,Macquarie First Trust Global,$68.64M,68640000
1326,MGU,Macquarie Global Infrastructure Total Return Fund Inc.,$229.17M,229170000
1327,MIC,Macquarie Infrastructure Corporation ,$2.7B,2700000000
1328,BMA,Macro Bank Inc.,$1.37B,1370000000
1329,M,Macy&#39;s Inc,$2.11B,2110000000
1330,MCN,Madison Covered Call & Equity Strategy Fund,$121.49M,121490000
1331,MSGE,Madison Square Garden Entertainment Corp.,$1.75B,1750000000
1332,MSGS,Madison Square Garden Sports Corp.,$3.75B,3750000000
1333,MMP,Magellan Midstream Partners L.P.,$9.52B,9520000000
1334,MGA,"Magna International, Inc.",$14.29B,14290000000
1335,MX,MagnaChip Semiconductor Corporation,$374.85M,374850000
1336,MGY,Magnolia Oil & Gas Corporation,$1.8B,1800000000
1337,MAIN,Main Street Capital Corporation,$2.01B,2010000000
1338,MMD,MainStay MacKay DefinedTerm Municipal Opportunitie,$580.8M,580800000
1339,MNK,Mallinckrodt plc,$214.52M,214520000
1340,MANU,Manchester United Ltd.,$2.47B,2470000000
1341,MTW,"Manitowoc Company, Inc. (The)",$398.57M,398570000
1342,MN,"Manning & Napier, Inc.",$45.73M,45730000
